https://www.utahhumane.org/node/19286,https://petharbor.com/get_image.asp?RES=Detail&ID=A109864&LOCATION=UTAH,A109864,Female,Angora,BLK SMOKE,3 YEARS,BB10,AVAILABLE,null,VIOLET,10154319532907816,,,,,,,
https://www.utahhumane.org/node/19593,https://petharbor.com/get_image.asp?RES=Detail&ID=A110148&LOCATION=UTAH,A110148,Female,Domestic Shorthair,BRN TABBY,8 YEARS,CA05,AVAILABLE,"""Couch Cat"" is the name & relaxing is my game! When I'm not soaking up the sun or enjoying a snack, you'll find me cuddled up on the couch. I'll be happiest just relaxing with you & getting some love in between nap sessions!",MURTLE,10154319532907816,,,,,,,
https://www.utahhumane.org/node/18426,https://petharbor.com/get_image.asp?RES=Detail&ID=A108986&LOCATION=UTAH,A108986,Female,Domestic Shorthair,Gray,8 YEARS,CA17,AVAILABLE,"The saying goes ""those who have a cat have no need for sculpture."" I'm a confident cat who wants to be the ruler of your kingdom. I love to be loved, but on my terms. As a ""Holier Than Meow"", my favorite past time is simply being visually admired.",ADDIE,10154319532907816,,,,,,,
https://www.utahhumane.org/node/18284,https://petharbor.com/get_image.asp?RES=Detail&ID=A108576&LOCATION=UTAH,A108576,Female,Pit Bull Terrier,Black,4 YEARS,DU14,AVAILABLE,If you don‰Ûªt mind a little drool slung here & there I might be the gal for you! I‰Ûªd do best with adopters that will make sure I‰Ûªm given toys & food separate from K9 pals my same size & give me a consistent daily routine! Please contact the Foster Department to learn more about me and schedule a meet and greet 801-261-2919 x215.,DAJA,10154319532907816,,,,,,,
https://www.utahhumane.org/node/17969,https://petharbor.com/get_image.asp?RES=Detail&ID=A108770&LOCATION=UTAH,A108770,Male,Domestic Shorthair,Black,12 YEARS,CA09,AVAILABLE,"From the shadows of the night a ""Mystery Meow"" will emerge to steal your heart! Most of us came here with no history, but some of us are just timid & our personalities have yet to shine. Give me a chance & I'll show you just how amazing I can be!",MILO,10154319532907816,,,,,,,
https://www.utahhumane.org/node/19474,https://petharbor.com/get_image.asp?RES=Detail&ID=A109870&LOCATION=UTAH,A109870,Female,Longhaired Rabbit,Cream,6 YEARS,BB11,AVAILABLE,null,TEVEL,10154319532907816,,,,,,,
https://www.utahhumane.org/node/19361,https://petharbor.com/get_image.asp?RES=Detail&ID=A109505&LOCATION=UTAH,A109505,Male,Domestic Longhair,Black,3 YEARS,CA11,AVAILABLE,"Never fear! ""Frisky Feline"" is here! Leaping from the highest heights, pouncing from rooftops & saving my humans from the evil red dot! Being a hero is hard work, but someone has to do it! I need plenty of play time to be the best friend I can be!",RUSTY,10154319532907816,,,,,,,
https://www.utahhumane.org/node/17927,https://petharbor.com/get_image.asp?RES=Detail&ID=A108348&LOCATION=UTAH,A108348,Male,Domestic Shorthair,White,11 YEARS,CC09,AVAILABLE,"""Couch Cat"" is the name & relaxing is my game! When I'm not soaking up the sun or enjoying a snack, you'll find me cuddled up on the couch. I'll be happiest just relaxing with you & getting some love in between nap sessions!",SIMON,10154319532907816,,,,,,,
https://www.utahhumane.org/node/18977,https://petharbor.com/get_image.asp?RES=Detail&ID=A109735&LOCATION=UTAH,A109735,Female,Birman,CHOC PT,3 YEARS,CA03,AVAILABLE,"From the shadows of the night a ""Mystery Meow"" will emerge to steal your heart! Most of us came here with no history, but some of us are just timid & our personalities have yet to shine. Give me a chance & I'll show you just how amazing I can be!",CHLOEY,10154319532907816,,,,,,,
https://www.utahhumane.org/node/19192,https://petharbor.com/get_image.asp?RES=Detail&ID=A109599&LOCATION=UTAH,A109599,Male,Chihuahua - Smooth Coated,Tan,1 YEAR,SD3,AVAILABLE,"A handsome hunk on the lookout for my perfect match! I was originally a transfer here at HSU; my previous home described me as hyper, affectionate, & friendly! I have been through a lot of changes lately so my forever home will need to have some patience & help guide me to ensure my success!",PLUTO,10154319532907816,,,,,,,
